rgn_id,year,trend
1,2009,0
1,2010,0
1,2011,0
1,2012,0
1,2013,0
1,2014,0
1,2015,0
2,2009,1.0048591735571232e-14
2,2010,1.0048591735571232e-14
2,2011,1.0048591735571232e-14
2,2012,1.0048591735571232e-14
2,2013,1.0048591735571232e-14
2,2014,1.0048591735571232e-14
2,2015,1.0048591735571232e-14
3,2009,1.0048591735571232e-14
3,2010,1.0048591735571232e-14
3,2011,1.0048591735571232e-14
3,2013,1.0048591735571232e-14
3,2014,1.0048591735571232e-14
3,2015,1.0048591735571232e-14
4,2009,5.024295867785616e-15
4,2010,5.024295867785616e-15
4,2011,5.024295867785616e-15
4,2012,5.024295867785616e-15
4,2013,5.024295867785616e-15
4,2014,5.024295867785616e-15
4,2015,5.024295867785616e-15
5,2009,2.0097183471142465e-14
5,2010,2.0097183471142465e-14
5,2011,2.0097183471142465e-14
5,2012,2.0097183471142465e-14
5,2013,2.0097183471142465e-14
5,2014,2.0097183471142465e-14
5,2015,2.0097183471142465e-14
6,2009,2.0097183471142465e-14
6,2010,2.0097183471142465e-14
6,2011,2.0097183471142465e-14
6,2012,2.0097183471142465e-14
6,2013,2.0097183471142465e-14
6,2014,2.0097183471142465e-14
6,2015,2.0097183471142465e-14
7,2009,2.0097183471142465e-14
7,2010,2.0097183471142465e-14
7,2011,2.0097183471142465e-14
7,2012,2.0097183471142465e-14
7,2013,2.0097183471142465e-14
7,2014,2.0097183471142465e-14
7,2015,2.0097183471142465e-14
8,2009,1.0048591735571232e-14
8,2010,1.0048591735571232e-14
8,2011,1.0048591735571232e-14
8,2012,1.0048591735571232e-14
8,2013,1.0048591735571232e-14
8,2014,1.0048591735571232e-14
8,2015,1.0048591735571232e-14
