rgn_id,year,habitat,pressure_score
1,2011,seagrass,1
1,2012,seagrass,1
1,2013,seagrass,1
1,2014,seagrass,1
1,2015,seagrass,1
2,2011,seagrass,0.7546145494028231
2,2012,seagrass,0.7546145494028231
2,2013,seagrass,0.7546145494028231
2,2014,seagrass,1
2,2015,seagrass,0.7546145494028231
3,2009,seagrass,NA
3,2010,seagrass,NA
3,2011,seagrass,NA
3,2012,seagrass,NA
3,2013,seagrass,NA
3,2014,seagrass,NA
3,2015,seagrass,NA
4,2009,seagrass,NA
4,2010,seagrass,NA
4,2011,seagrass,NA
4,2012,seagrass,NA
4,2013,seagrass,NA
4,2014,seagrass,NA
4,2015,seagrass,NA
5,2009,seagrass,NA
5,2010,seagrass,NA
5,2011,seagrass,NA
5,2012,seagrass,NA
5,2013,seagrass,NA
5,2014,seagrass,NA
5,2015,seagrass,NA
6,2011,seagrass,1
6,2012,seagrass,1
6,2013,seagrass,1
6,2014,seagrass,1
6,2015,seagrass,1
7,2009,seagrass,NA
7,2010,seagrass,NA
7,2011,seagrass,NA
7,2012,seagrass,NA
7,2013,seagrass,NA
7,2014,seagrass,NA
7,2015,seagrass,NA
8,2009,seagrass,NA
8,2010,seagrass,NA
8,2011,seagrass,NA
8,2012,seagrass,NA
8,2013,seagrass,NA
8,2014,seagrass,NA
8,2015,seagrass,NA
