goal,element,element_name,ss_spi,ss_wgi,po_chemicals,po_nutrients,po_nutrients_3nm,po_chemicals_3nm,cc_sst,cc_acid,cc_slr,cc_uv,cc_chl,fp_coral_mortality,hd_diseases_mariculture,po_bod,po_coliform,po_cadmium,po_nitrat
FIS,,,1,1,1,1,,,1,,,,2,1,,,,,
MAR,,,1,1,2,,3,2,1,,,,,,2,1,1,1,1
AO,,,1,1,,1,1,1,,,1,,,,,,,,
CP,coral,,1,1,,,2,1,3,1,2,1,,,,,,,
CP,mangrove,,1,1,,,1,1,,,2,,,,,,,,
CP,seagrass,,1,1,,,3,2,2,1,3,,,,,,,,
CS,mangrove,,1,1,,,1,1,,,1,,,,,,,,
CS,seagrass,,1,1,,,3,2,2,1,2,,,,,,,,
HAB,coral,,1,1,,,2,1,3,1,1,1,,,,,,,
HAB,mangrove,,1,1,,,1,1,,,1,,,,,,,,
HAB,seagrass,,1,1,,,3,2,2,1,2,,,,,,,,
TR,,,1,1,,,3,3,,,2,2,,,,,,,
SPP,,,1,1,2,3,,,1,1,1,,,,,,,,
ICO,,,1,1,,,,3,1,1,,,,,,,,,
LSP,,,1,1,,,,,,,1,,,,,,,,
