rgn_id,year,species,catch
1,2e3,Layur,3.596
1,2001,Layur,9.992
1,2002,Layur,2.967
1,2003,Layur,48.159
1,2004,Layur,13.818
1,2005,Layur,24.026
1,2006,Layur,14.826
1,2007,Layur,37.602
1,2008,Layur,4.844
1,2009,Layur,4.685
1,2010,Layur,144.049
1,2011,Layur,159.013
1,2012,Layur,16.461
1,2013,Layur,13.625
1,2014,Layur,15.695
1,2015,Layur,17.272
2,2e3,Layur,41.666
2,2001,Layur,13.4
2,2002,Layur,13.178
2,2003,Layur,259.35
2,2004,Layur,59.724
2,2005,Layur,61.84
2,2006,Layur,105.527
2,2007,Layur,85.546
2,2008,Layur,36.649
2,2009,Layur,34.357
2,2010,Layur,43.068
2,2011,Layur,36.896
2,2012,Layur,19.854
2,2013,Layur,26.886
2,2014,Layur,27.759
2,2015,Layur,63.181
3,2e3,Layur,17.632
3,2001,Layur,23.631
3,2002,Layur,8.836
3,2003,Layur,127.61
3,2004,Layur,139.852
3,2005,Layur,48.49
3,2006,Layur,63.439
3,2007,Layur,79.854
3,2008,Layur,30.428
3,2009,Layur,29.43
3,2010,Layur,30.736
3,2011,Layur,23.702
3,2012,Layur,23.076
3,2013,Layur,87.042
3,2014,Layur,82.902
3,2015,Layur,95.863
4,2e3,Layur,34.35
4,2001,Layur,17.262
4,2002,Layur,30.991
4,2003,Layur,305.415
4,2004,Layur,75.536
4,2005,Layur,59.772
4,2006,Layur,184.631
4,2007,Layur,83.702
4,2008,Layur,36.724
4,2009,Layur,35.519
4,2010,Layur,91.143
4,2011,Layur,37.346
4,2012,Layur,7.714
4,2013,Layur,8.397
4,2014,Layur,6.677
4,2015,Layur,60.142
5,2e3,Layur,33.394
5,2001,Layur,32.283
5,2002,Layur,29.63
5,2003,Layur,323.446
5,2004,Layur,59.078
5,2005,Layur,161.275
5,2006,Layur,213.96
5,2007,Layur,250.666
5,2008,Layur,60.206
5,2009,Layur,58.23
5,2010,Layur,99.864
5,2011,Layur,64.488
5,2012,Layur,47.296
5,2013,Layur,49.5
5,2014,Layur,49.745
5,2015,Layur,109.368
6,2e3,Layur,109.759
6,2001,Layur,63.737
6,2002,Layur,80.068
6,2003,Layur,521.666
6,2004,Layur,97.26
6,2005,Layur,127.816
6,2006,Layur,323.395
6,2007,Layur,398.027
6,2008,Layur,148.963
6,2009,Layur,144.075
6,2010,Layur,226.19
6,2011,Layur,99.126
6,2012,Layur,87.726
6,2013,Layur,125.477
6,2014,Layur,129.553
6,2015,Layur,338.312
7,2e3,Layur,25.133
7,2001,Layur,14.574
7,2002,Layur,7.609
7,2003,Layur,77.124
7,2004,Layur,40.387
7,2005,Layur,41.445
7,2006,Layur,71.805
7,2007,Layur,86.508
7,2008,Layur,26.661
7,2009,Layur,25.786
7,2010,Layur,56.866
7,2011,Layur,21.59
7,2012,Layur,10.701
7,2013,Layur,27.624
7,2014,Layur,29.875
7,2015,Layur,62.624
8,2e3,Layur,10.47
8,2001,Layur,7.12
8,2002,Layur,7.721
8,2003,Layur,109.23
8,2004,Layur,7.344
8,2005,Layur,63.336
8,2006,Layur,72.418
8,2007,Layur,62.095
8,2008,Layur,18.525
8,2009,Layur,17.917
8,2010,Layur,31.084
8,2011,Layur,9.838
8,2012,Layur,13.172
8,2013,Layur,12.159
8,2014,Layur,15.008
8,2015,Layur,34.159
