rgn_id,habitat,year,area_ha
1,mangrove,2009,641
1,mangrove,2010,641
1,mangrove,2011,641
1,mangrove,2012,641
1,mangrove,2013,675.46
1,mangrove,2014,657.19
1,mangrove,2015,657.19
2,mangrove,2009,753.5
2,mangrove,2010,753.5
2,mangrove,2011,753.5
2,mangrove,2012,753.5
2,mangrove,2013,643.9
2,mangrove,2014,787.67
2,mangrove,2015,787.67
3,mangrove,2009,NA
3,mangrove,2010,NA
3,mangrove,2011,NA
3,mangrove,2012,NA
3,mangrove,2013,NA
3,mangrove,2014,NA
3,mangrove,2015,NA
4,mangrove,2009,356
4,mangrove,2010,361.5
4,mangrove,2011,361.5
4,mangrove,2012,361.5
4,mangrove,2013,361.7
4,mangrove,2014,350.23
4,mangrove,2015,350.23
5,mangrove,2009,243
5,mangrove,2010,243
5,mangrove,2011,243
5,mangrove,2012,243
5,mangrove,2013,242.93
5,mangrove,2014,463.74
5,mangrove,2015,463.74
6,mangrove,2009,NA
6,mangrove,2010,NA
6,mangrove,2011,NA
6,mangrove,2012,NA
6,mangrove,2013,NA
6,mangrove,2014,NA
6,mangrove,2015,NA
7,mangrove,2009,216.5
7,mangrove,2010,216.5
7,mangrove,2011,216.5
7,mangrove,2012,216.5
7,mangrove,2013,231.67
7,mangrove,2014,230.28
7,mangrove,2015,230.28
8,mangrove,2009,NA
8,mangrove,2010,NA
8,mangrove,2011,NA
8,mangrove,2012,NA
8,mangrove,2013,NA
8,mangrove,2014,NA
8,mangrove,2015,NA
